Thu Mar 19 12:05:01 PDT 2020 - start
* # of countries 152
144/153 - Saint Vincent and the Grenadines - last value from 2020-3-18 with 1 cases, 0 deaths, 0 recovered, 1 active cases.
145/153 - Suriname - last value from 2020-3-18 with 1 cases, 0 deaths, 0 recovered, 1 active cases.
146/153 - Central African Republic - last value from 2020-3-18 with 1 cases, 0 deaths, 0 recovered, 1 active cases.
147/153 - Congo (Brazzaville) - last value from 2020-3-18 with 1 cases, 0 deaths, 0 recovered, 1 active cases.
148/153 - Greenland - last value from 2020-3-18 with 1 cases, 0 deaths, 0 recovered, 1 active cases.
149/153 - Somalia - last value from 2020-3-18 with 1 cases, 0 deaths, 0 recovered, 1 active cases.
150/153 - The Bahamas - last value from 2020-3-18 with 1 cases, 0 deaths, 0 recovered, 1 active cases.
151/153 - Montenegro - last value from 2020-3-18 with 1 cases, 0 deaths, 0 recovered, 1 active cases.
152/153 - Djibouti - last value from 2020-3-18 with 1 cases, 0 deaths, 0 recovered, 1 active cases.
153/153 - Gambia, The - last value from 2020-3-18 with 1 cases, 0 deaths, 0 recovered, 1 active cases.
Generating plots done!
Thu Mar 19 12:07:41 PDT 2020 - end
